Station Name,Station Name (File),Climate Division,Latitude,Longitude,Avg T-Max,Avg T-Min,T-Avg,T-Avg DFN,Highest T-Max,Lowest T-Min,HDD,HDD DFN,CDD,CDD DFN,Total P,Normal P,P-DFN,1-Day Max,P-Max Date,P-Days,Missing T-Avg,Missing Total P
ST. MARTINVILLE 0.2 S,ST. MARTINVILLE 0.2 S,LA08,-91.83098,30.12212,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.73,0.27,3.46,3.27,2025-05-07,2.0,2,0
BELLE CHASSE 1.6 NNE,BELLE CHASSE 1.6 NNE,LA09,-89.99298,29.86741,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.83,-999.0,1000.83,1.51,2025-05-08,2.0,2,0
CHALMETTE,CHALMETTE,LA09,-89.95072,29.94318,79.5,66.5,73.0,-1.95,80.0,64.0,0.0,0.0,17.0,-3.0,3.54,0.44,3.1,2.66,2025-05-08,2.0,0,0
CUT OFF 0.8 WNW,CUT OFF 0.8 WNW,LA09,-90.34724,29.5319,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.6,-999.0,999.6,0.6,2025-05-08,1.0,2,1
DULAC 3N,DULAC 3N,LA09,-90.7011,29.4336,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.9,0.54,0.36,0.9,2025-05-08,1.0,2,0
DUTCHTOWN #2,DUTCHTOWN #2,LA09,-90.9872,30.2508,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.37,0.45,1.9200000000000002,1.8,2025-05-07,2.0,2,0
GONZALES,GONZALES,LA09,-90.9225,30.2033,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.75,0.39,2.36,2.0,2025-05-07,2.0,2,0
HOUMA 4.1 NNE,HOUMA 4.1 NNE,LA09,-90.67559,29.63165,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.67,-999.0,1000.67,1.67,2025-05-08,1.0,2,0
NEW ORLEANS AP,NEW ORLEANS AP,LA09,-90.27772,29.99755,81.0,67.5,74.25,-1.0,86.0,66.0,0.0,-0.0,19.0,-2.0,1.64,0.37,1.27,1.64,2025-05-07,1.0,0,0
NEW ORLEANS LAKEFRONT AP,NEW ORLEANS LAKEFRONT AP,LA09,-90.02899,30.04934,80.5,68.0,74.25,-1.55,85.0,67.0,0.0,0.0,19.0,-3.0,2.21,0.31,1.9,2.21,2025-05-07,1.0,0,0
NEW ORLEANS 2.8 E,NEW ORLEANS 2.8 E,LA09,-90.02538,29.9448,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.27,-999.0,1002.27,2.4,2025-05-08,2.0,2,0
NEW ORLEANS AUDUBON,NEW ORLEANS AUDUBON,LA09,-90.1302,29.9166,80.5,69.5,75.0,-1.7,82.0,69.0,0.0,0.0,20.0,-3.0,3.14,0.35,2.79,2.66,2025-05-08,2.0,0,0
METAIRIE 2.8 ENE,METAIRIE 2.8 ENE,LA09,-90.13431,30.01422,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.81,-999.0,1002.81,2.02,2025-05-07,2.0,2,0
RACELAND 2.1 WSW,RACELAND 2.1 WSW,LA09,-90.62615,29.70196,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.16,-999.0,1001.16,2.16,2025-05-08,1.0,2,0
RIVER RIDGE 0.7 N,RIVER RIDGE 0.7 N,LA09,-90.21775,29.96887,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,M,-999.0,2,2
ST AMANT 3.3 N,ST AMANT 3.3 N,LA09,-90.87,30.27167,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,M,-999.0,2,2
ST. BERNARD 2.7 E,ST. BERNARD 2.7 E,LA09,-89.814,29.86914,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,M,-999.0,2,2
ST ROSE 0.3 W,ST ROSE 0.3 W,LA09,-90.32003,29.95781,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.32,-999.0,1004.32,3.82,2025-05-08,2.0,2,0
THIBODAUX 4 SE,THIBODAUX 4 SE,LA09,-90.7748,29.7547,78.5,65.0,71.75,-2.95,82.0,62.0,0.0,-0.0,14.0,-6.0,2.07,0.38,1.69,2.01,2025-05-08,2.0,0,0
WESTWEGO 2.4 ENE,WESTWEGO 2.4 ENE,LA09,-90.10705,29.92085,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.04,-999.0,1001.04,2.04,2025-05-07,1.0,2,0
BLANCHARD,BLANCHARD,LA01,-93.93466,32.5676,73.5,58.5,66.0,-999.0,81.0,56.0,1.0,-999.0,4.0,-999.0,1.9,-999.0,1000.9,1.9,2025-05-07,1.0,0,0
BOSSIER CITY 4.0 S,BOSSIER CITY 4.0 S,LA01,-93.65634,32.46084,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.31,-999.0,1000.31,1.31,2025-05-07,1.0,2,0
CONVERSE 7.8 NNW,CONVERSE 7.8 NNW,LA01,-93.76898,31.87679,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.73,-999.0,1000.73,1.73,2025-05-07,1.0,2,0
COUSHATTA 4.3 ENE,COUSHATTA 4.3 ENE,LA01,-93.27869,32.05728,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.79,-999.0,1001.79,2.79,2025-05-07,1.0,2,0
KEITHVILLE,KEITHVILLE,LA01,-93.8619,32.355,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.6,0.33,1.27,1.6,2025-05-07,1.0,2,0
LOGANSPORT,LOGANSPORT,LA01,-94.0002,31.9672,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.31,-0.31,-999.0,M,-999.0,2,0
MOORINGSPORT 1 N,MOORINGSPORT 1 N,LA01,-93.9602,32.7052,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.28,-999.28,-999.0,M,-999.0,2,2
PLAIN DEALING,PLAIN DEALING,LA01,-93.645,32.8921,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.4,0.33,1.0699999999999998,1.4,2025-05-07,1.0,2,0
RED RIVER RESEARCH STATION,RED RIVER RESEARCH STATION,LA01,-93.638,32.4219,78.0,60.5,69.25,-1.8,79.0,59.0,0.0,-1.0,9.0,-4.0,1.38,0.34,1.0399999999999998,1.38,2025-05-07,1.0,0,0
SHREVEPORT DOWNTOWN AP,SHREVEPORT DOWNTOWN AP,LA01,-93.74616,32.53984,83.0,63.5,73.25,0.4,84.0,62.0,0.0,-1.0,17.0,1.0,0.06,0.26,-0.2,0.06,2025-05-07,1.0,0,0
SHREVEPORT AP,SHREVEPORT AP,LA01,-93.8244,32.4473,86.0,65.5,75.75,4.2,87.0,63.0,0.0,-1.0,22.0,8.0,0.02,0.3,-0.27999999999999997,0.02,2025-05-07,1.0,0,0
SHREVEPORT WFO,SHREVEPORT WFO,LA01,-93.8416,32.4513,81.5,62.5,72.0,1.85,83.0,61.0,0.0,-1.0,14.0,2.0,0.03,0.31,-0.28,0.03,2025-05-07,1.0,0,0
SHREVEPORT SOUTHERN HILLS,SHREVEPORT SOUTHERN HILLS,LA01,-93.8019,32.3795,75.0,61.0,68.0,-1.65,81.0,59.0,0.0,-2.0,6.0,-5.0,1.67,0.33,1.3399999999999999,1.64,2025-05-07,2.0,0,0
SPRINGHILL,SPRINGHILL,LA01,-93.4418,32.9922,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.33,-0.33,0.0,2025-05-08,0.0,2,0
STONEWALL 5.3 NE,STONEWALL 5.3 NE,LA01,-93.75777,32.32172,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.73,-999.0,1000.73,1.69,2025-05-07,2.0,2,0
TAYLORTOWN,TAYLORTOWN,LA01,-93.56884,32.39725,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.84,-999.0,1000.84,1.84,2025-05-07,1.0,2,0
ARCADIA,ARCADIA,LA02,-92.9186,32.5511,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.12,0.31,1.81,2.12,2025-05-07,1.0,2,0
BIENVILLE 3 NE,BIENVILLE 3 NE,LA02,-92.9433,32.3744,81.5,63.0,72.25,2.2,83.0,62.0,0.0,-2.0,15.0,3.0,0.02,0.36,-0.33999999999999997,0.02,2025-05-07,1.0,0,0
CALHOUN 4.3 SSE,CALHOUN 4.3 SSE,LA02,-92.34389,32.45183,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.35,0.37,1.98,2.35,2025-05-07,1.0,2,0
CARLTON 1.7 E,CARLTON 1.7 E,LA02,-92.3314,32.5407,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.05,-999.0,1002.05,3.05,2025-05-07,1.0,2,0
COLUMBIA LOCK,COLUMBIA LOCK,LA02,-92.10769,32.1673,77.5,62.0,69.75,-1.1,81.0,62.0,0.0,-1.0,10.0,-3.0,2.78,0.33,2.4499999999999997,2.78,2025-05-07,1.0,0,0
HOMER 1N,HOMER 1N,LA02,-93.0626,32.81,72.5,59.0,65.75,-2.2,79.0,56.0,1.0,-2.0,3.0,-6.0,1.79,0.36,1.4300000000000002,1.78,2025-05-07,2.0,0,0
JAMESTOWN,JAMESTOWN,LA01,-93.20137,32.34837,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.15,0.32,1.8299999999999998,2.11,2025-05-07,2.0,2,0
JONESBORO 3.8 ESE,JONESBORO 3.8 ESE,LA02,-92.6512,32.2147,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.47,-999.0,1001.47,2.47,2025-05-07,1.0,2,0
MONROE REGIONAL AP,MONROE REGIONAL AP,LA02,-92.02995,32.51552,83.5,65.0,74.25,2.9,86.0,64.0,0.0,-1.0,19.0,5.0,0.0,0.3,-0.3,0.0,2025-05-07,0.0,0,0
MONROE 26 N,MONROE 26 N,LA02,-92.1165,32.8833,81.5,62.0,71.75,3.0,83.0,61.0,0.0,-2.0,14.0,4.0,0.0,0.35,-0.35,0.0,2025-05-08,0.0,0,0
QUITMAN 2.5 E,QUITMAN 2.5 E,LA02,-92.67938,32.34416,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.05,-999.0,1002.05,3.05,2025-05-07,1.0,2,0
RINGGOLD 3.3 ESE,RINGGOLD 3.3 ESE,LA02,-93.2371,32.29958,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.1,-999.0,1001.1,2.1,2025-05-07,1.0,2,0
ROCKY BRANCH 1.3 W,ROCKY BRANCH 1.3 W,LA02,-92.22363,32.68049,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.4,-999.0,1001.4,2.4,2025-05-07,1.0,2,0
RUSTON 5.4 ENE,RUSTON 5.4 ENE,LA02,-92.5517,32.55738,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.77,-999.0,1001.77,2.77,2025-05-07,1.0,2,0
RUSTON 5.5 NNW,RUSTON 5.5 NNW,LA02,-92.66288,32.6093,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.02,0.32,2.7,3.02,2025-05-07,1.0,2,0
SIKES 1.0 SW,SIKES 1.0 SW,LA02,-92.49981,32.0702,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.01,-999.0,1002.01,3.01,2025-05-07,1.0,2,0
WEST MONROE,WEST MONROE,LA02,-92.1483,32.46,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,0.29,1.71,2.0,2025-05-07,1.0,2,0
FSA-OAK GROVE 0.2 S,FSA-OAK GROVE 0.2 S,LA03,-91.39059,32.85932,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.9,-999.0,1000.9,1.9,2025-05-07,1.0,2,0
FSA-ST. JOSEPH 0.5 NNW,FSA-ST. JOSEPH 0.5 NNW,LA03,-91.24381,31.92607,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.02,-999.0,1002.02,3.02,2025-05-07,1.0,2,0
FSA-TALLULAH 1.7 SSE,FSA-TALLULAH 1.7 SSE,LA03,-91.17996,32.3838,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.91,-999.0,1001.91,2.91,2025-05-07,1.0,2,0
OAK GROVE,OAK GROVE,LA03,-91.38,32.8641,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.94,0.31,1.63,1.94,2025-05-07,1.0,2,0
OAK GROVE 1.9 E,OAK GROVE 1.9 E,LA03,-91.358,32.8626,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.8,-999.0,1000.8,1.79,2025-05-07,2.0,2,0
PIONEER 0.3 WSW,PIONEER 0.3 WSW,LA03,-91.43932,32.73773,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.71,-999.0,1000.71,1.71,2025-05-07,1.0,2,0
TALLULAH VICKSBURG REGIONAL AP,TALLULAH VICKSBURG REGIONAL AP,LA03,-91.02994,32.34808,82.0,61.5,71.75,0.2,85.0,60.0,0.0,-1.0,14.0,-0.0,0.03,0.26,-0.23,0.03,2025-05-07,1.0,0,0
WINNSBORO 5 SSE,WINNSBORO 5 SSE,LA03,-91.7022,32.0997,78.5,61.0,69.75,-2.2,80.0,60.0,0.0,-1.0,10.0,-5.0,2.7,0.32,2.3800000000000003,2.7,2025-05-07,1.0,0,0
ANACOCO 3.0 SW,ANACOCO 3.0 SW,LA04,-93.38322,31.22742,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.96,-999.0,1000.96,1.96,2025-05-07,1.0,2,0
CAMPTI 0.6 SW,CAMPTI 0.6 SW,LA04,-93.12088,31.89139,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.68,-999.0,1000.68,1.67,2025-05-07,2.0,2,0
CAMPTI 5.7 ENE,CAMPTI 5.7 ENE,LA04,-93.02767,31.93305,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.11,-999.0,1001.11,2.11,2025-05-07,1.0,2,0
GOLDONNA 1.5 N,GOLDONNA 1.5 N,LA04,-92.91079,32.04196,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.64,-999.0,1001.64,2.64,2025-05-07,1.0,2,0
HORNBECK 2.3 NE,HORNBECK 2.3 NE,LA04,-93.37122,31.35177,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.93,-999.0,1001.93,2.93,2025-05-07,1.0,2,0
LEESVILLE,LEESVILLE,LA04,-93.2397,31.1416,81.5,61.0,71.25,0.0,84.0,57.0,0.0,-1.0,13.0,-1.0,2.22,0.29,1.9300000000000002,2.22,2025-05-07,1.0,0,0
LEESVILLE 7.1 SSW,LEESVILLE 7.1 SSW,LA04,-93.31178,31.03936,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.42,-999.0,1002.42,3.42,2025-05-07,1.0,2,0
MANY 9 WSW,MANY 9 WSW,LA04,-93.6199,31.5119,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.68,0.29,2.39,2.64,2025-05-07,2.0,2,0
NATCHITOCHES #2,NATCHITOCHES #2,LA04,-93.0856,31.8142,81.5,62.5,72.0,0.45,86.0,62.0,0.0,-1.0,15.0,1.0,2.24,0.26,1.9800000000000002,2.24,2025-05-07,1.0,0,0
NOBLE 1.8 ESE,NOBLE 1.8 ESE,LA04,-93.65532,31.67984,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.72,-999.0,1000.72,1.69,2025-05-07,2.0,2,0
PITKIN 6.6 WNW,PITKIN 6.6 WNW,LA04,-93.04047,30.97118,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.52,-999.0,1002.52,3.5,2025-05-07,2.0,2,0
PLEASANT HILL 10.2 SE,PLEASANT HILL 10.2 SE,LA04,-93.40701,31.70143,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.8,0.37,1.4300000000000002,1.77,2025-05-07,2.0,2,0
TOLEDO BEND LAKE,TOLEDO BEND LAKE,LA04,-93.5726,31.2021,81.0,55.0,68.0,-2.95,82.0,55.0,0.0,-1.0,7.0,-6.0,4.01,0.26,3.75,4.0,2025-05-07,2.0,0,0
